StationCode,Longitude,Latitude,Survey
72,-121.58057,38.18775,FMWT
73,-121.53937,38.27433,FMWT
305,-122.4086,37.9987,FMWT
306,-122.41488,38.00042,FMWT
307,-122.4192,38.00472,FMWT
308,-122.40438,2,FMWT
309,-122.39387,38.01442,FMWT
310,-122.37355,38.0297,FMWT
311,-122.37743,38.02087,FMWT
314,-122.41167,38.02812,FMWT
315,-122.3936,38.03815,FMWT
321,-122.36103,38.03612,FMWT
322,-122.35078,38.02363,FMWT
323,-122.28281,38.04831,TNS
323,-122.32817,38.02853,FMWT
325,-122.2955,38.05605,FMWT
326,-122.29592,38.04038,FMWT
327,-122.36672,38.04772,FMWT
328,-122.34842,38.06005,FMWT
329,-122.30588,38.06312,FMWT
334,-122.33933,38.07553,FMWT
335,-122.3243,38.0705,FMWT
336,-122.27875,38.06275,FMWT
337,-122.27232,38.0595,FMWT
338,-122.24892,38.06003,FMWT
339,-122.2568,38.0667,FMWT
340,-122.26945,38.10391,TNS
340,-122.26988,38.10508,FMWT
340,-122.26344,38.09928,SKT
341,-122.2802,38.12828,FMWT
401,-122.21245,38.05758,FMWT
403,-122.17192,38.04883,FMWT
404,-122.17887,38.04645,FMWT
405,-122.1505,38.03806,TNS
405,-122.15815,38.03353,FMWT
405,-122.1505,38.03969,SKT
406,-122.15057,38.028,FMWT
407,-122.14515,38.03298,FMWT
408,-122.12897,38.03513,FMWT
409,-122.10637,38.04455,FMWT
410,-122.09647,38.04883,FMWT
411,-122.08331,38.05131,TNS
411,-122.06828,38.06117,FMWT
411,-122.08331,38.05131,SKT
412,-122.06007,38.06462,FMWT
413,-122.0473,38.06595,FMWT
414,-122.11128,38.05213,FMWT
415,-122.10772,38.05678,FMWT
416,-122.09415,38.0702,FMWT
417,-122.083,38.08075,FMWT
418,-122.09781,38.06481,TNS
418,-122.06973,38.09383,FMWT
418,-122.09781,38.06481,SKT
501,-122.02246,38.07338,TNS
501,-122.01955,38.06167,FMWT
501,-122.02246,38.07338,SKT
502,-122.00397,38.05997,FMWT
503,-121.9832,38.06022,FMWT
504,-122.01372,38.06106,TNS
504,-121.9767,38.05945,FMWT
504,-122.01372,38.06106,SKT
505,-121.95597,38.05713,FMWT
507,-121.939,38.05228,FMWT
508,-121.923,38.04556,TNS
508,-121.91492,38.04813,FMWT
508,-121.91881,38.0455,SKT
509,-121.90412,38.04547,FMWT
510,-121.88783,38.04888,FMWT
511,-121.88,38.0513,FMWT
512,-121.87722,38.05638,FMWT
513,-121.864,38.05946,TNS
513,-121.86842,38.0592,FMWT
513,-121.868,38.05831,SKT
515,-122.01472,38.092,FMWT
516,-121.99408,38.07867,FMWT
517,-121.97938,38.07022,FMWT
518,-121.96802,38.06875,FMWT
519,-121.95969,38.07231,TNS
519,-121.94725,38.07378,FMWT
519,-121.95969,38.07231,SKT
520,-121.86931,38.03281,TNS
520,-121.86931,38.03281,SKT
601,-122.0356,38.1031,FMWT
602,-122.04619,38.114,TNS
602,-122.04183,38.11783,FMWT
602,-122.04619,38.114,SKT
603,-122.04805,38.11552,FMWT
604,-122.05717,38.12163,FMWT
605,-122.05738,38.14853,FMWT
606,-122.02201,38.16776,TNS
606,-122.02177,38.1698,FMWT
606,-122.02567,38.16947,SKT
608,-121.88332,38.0887,FMWT
609,-121.938,38.16719,TNS
609,-121.938,38.16719,SKT
610,-121.88919,38.11881,TNS
610,-121.88919,38.11881,SKT
701,-121.83475,38.06505,FMWT
703,-121.79692,38.06087,FMWT
704,-121.77501,38.06776,TNS
704,-121.77892,38.07087,FMWT
704,-121.77528,38.06917,SKT
705,-121.7618,38.07925,FMWT
706,-121.739,38.09006,TNS
706,-121.74,38.0903,FMWT
706,-121.75069,38.08519,SKT
707,-121.70601,38.11226,TNS
707,-121.70797,38.11397,FMWT
707,-121.7075,38.1135,SKT
708,-121.6967,38.12608,FMWT
709,-121.69048,38.14787,FMWT
710,-121.68228,38.162,FMWT
711,-121.669,38.17336,TNS
711,-121.67028,38.17595,FMWT
711,-121.66531,38.17881,SKT
712,-121.64095,38.19042,FMWT
712,-121.64095,38.19042,SKT
713,-121.66008,38.20712,TNS
713,-121.66008,38.20712,FMWT
713,-121.66008,38.20712,SKT
715,-121.67362,38.22295,FMWT
715,-121.67362,38.22295,SKT
716,-121.68438,38.23787,TNS
716,-121.68438,38.23787,FMWT
716,-121.69164,38.25828,SKT
717,-121.63138,38.17017,FMWT
719,-121.64733,38.33428,TNS
719,-121.64733,38.33428,FMWT
719,-121.64733,38.33428,SKT
721,-121.70277,38.26815,TNS
721,-121.70277,38.26815,FMWT
723,-121.67348,38.23615,TNS
723,-121.67348,38.23615,FMWT
724,-121.55878,38.23578,FMWT
724,-121.55878,38.23578,SKT
735,-121.56968,38.33343,FMWT
736,-121.5214,38.36737,FMWT
795,-121.58468,38.5377,TNS
795,-121.58468,38.5377,FMWT
796,-121.5844,38.47387,TNS
796,-121.5844,38.47387,FMWT
797,-121.6156,38.40462,TNS
797,-121.6156,38.40462,FMWT
801,-121.847,38.05561,TNS
801,-121.844,38.04369,SKT
802,-121.83875,38.03528,FMWT
804,-121.794,38.02056,TNS
804,-121.79868,38.02308,FMWT
804,-121.797,38.01819,SKT
806,-121.7617,38.02872,FMWT
807,-121.73203,38.02995,FMWT
808,-121.71942,38.03337,FMWT
809,-121.686,38.05396,TNS
809,-121.69305,38.0512,FMWT
809,-121.68919,38.0525,SKT
810,-121.67622,38.07083,FMWT
811,-121.66487,38.09742,FMWT
812,-121.64051,38.08866,TNS
812,-121.64883,38.08792,FMWT
812,-121.6405,38.09031,SKT
813,-121.62767,38.09978,FMWT
814,-121.6022,38.10128,FMWT
815,-121.56981,38.08,TNS
815,-121.57587,38.0913,FMWT
815,-121.56981,38.08,SKT
902,-121.58301,38.02616,TNS
902,-121.58255,38.0205,FMWT
902,-121.58219,38.01919,SKT
903,-121.56747,38.10628,FMWT
904,-121.56847,38.07828,FMWT
905,-121.55573,38.05953,FMWT
906,-121.51101,38.05396,TNS
906,-121.51653,38.05412,FMWT
906,-121.509,38.05169,SKT
908,-121.5298,38.04308,FMWT
909,-121.46705,38.02442,FMWT
910,-121.444,37.99836,TNS
910,-121.45037,38.00228,FMWT
910,-121.44869,38.00181,SKT
911,-121.40875,37.99247,FMWT
912,-121.364,37.96226,TNS
912,-121.37172,37.96883,FMWT
912,-121.36731,37.966,SKT
913,-121.53705,37.97012,FMWT
914,-121.52,37.9715,TNS
914,-121.53475,37.94662,FMWT
914,-121.52,37.9715,SKT
915,-121.559,37.94056,TNS
915,-121.55908,37.949,FMWT
915,-121.5635,37.9425,SKT
918,-121.56881,37.85931,TNS
919,-121.492,38.10481,TNS
919,-121.49525,38.10572,FMWT
919,-121.492,38.10481,SKT
920,-121.50475,38.14138,FMWT
920,-121.50475,38.14138,SKT
921,-121.49303,38.16513,FMWT
921,-121.49303,38.16513,SKT
922,-121.4789,38.20438,FMWT
922,-121.4789,38.20438,SKT
923,-121.56625,38.13445,FMWT
923,-121.56625,38.13445,SKT
NZ002,-122.2069444,38.06027778,EMP
NZ004,-122.1583333,38.02916667,EMP
NZ028,-122.0472222,38.11722222,EMP
NZ032,-122.0208333,38.17027778,EMP
NZ048,-121.9958333,38.06,EMP
NZ054,-121.9063889,38.04583333,EMP
NZ060,-121.8288889,38.06444444,EMP
NZ064,-121.7380556,38.08472222,EMP
NZ074,-121.8036111,38.02222222,EMP
NZ086,-121.5702778,38.07777778,EMP
NZ092,-121.3819444,37.97833333,EMP
NZ325,-122.2888889,38.05777778,EMP
NZ41A,-122.4111111,38.07083333,EMP
NZD06,-122.1166667,38.04436,EMP
NZD16,-121.6666667,38.09722222,EMP
NZD19,-121.6136111,38.04388889,EMP
NZD28,-121.5772222,37.98277778,EMP
NZD41,-122.3708333,38.03055556,EMP
NZM10,-121.4263889,38.04361111,EMP
NZS42,-122.0472222,38.18055556,EMP
AM001S,-121.5057333,38.59935675,DJFMP
DS002S,-121.4583571,38.05876504,DJFMP
GS010E,-121.5271963,38.22585563,DJFMP
LI001E,-121.6822745,38.241974,DJFMP
LI001W,-121.6942435,38.277443,DJFMP
LI002E,-121.6781385,38.246361,DJFMP
LI002W,-121.6913945,38.269292,DJFMP
LI003E,-121.6720725,38.255043,DJFMP
LI003W,-121.6902733,38.257888,DJFMP
LI004E,-121.6715572,38.26514,DJFMP
LI004W,-121.686264,38.25268,DJFMP
LI005E,-121.6669301,38.273775,DJFMP
LI005W,-121.6864208,38.244607,DJFMP
LI006E,-121.6660058,38.277432,DJFMP
LI006W,-121.6923514,38.282226,DJFMP
LI007E,-121.6655426,38.283997,DJFMP
LI007W,-121.6874303,38.282495,DJFMP
LI008E,-121.6672063,38.289305,DJFMP
LI008W,-121.6920158,38.287548,DJFMP
LI009E,-121.6677617,38.298324,DJFMP
LI009W,-121.6917733,38.291502,DJFMP
LI010E,-121.6677872,38.302559,DJFMP
LI010W,-121.6910438,38.302191,DJFMP
LI011E,-121.6676653,38.313598,DJFMP
LP003E,-121.5001684,38.10993564,DJFMP
MK004W,-121.5804697,38.12746155,DJFMP
MR010W,-121.5287972,37.9217722,DJFMP
MS001N,-121.7855639,38.05604444,DJFMP
OR003W,-121.581859,38.031977,DJFMP
OR014W,-121.5558943,37.92148633,DJFMP
OR019E,-121.5767796,37.87674206,DJFMP
OR023E,-121.551276,37.82567304,DJFMP
SA001M,-122.3675382,37.81092979,DJFMP
SA004W,-122.4948874,37.89139123,DJFMP
SA007E,-122.3014014,37.85143906,DJFMP
SA008W,-122.4668706,37.89841496,DJFMP
SA009E,-122.3860448,37.91779546,DJFMP
SA010W,-122.4984841,37.9395808,DJFMP
SB001M,-122.108137,38.0515,DJFMP
SB001N,-122.115107,38.059663,DJFMP
SB001S,-122.10333,38.045136,DJFMP
SB001X,-122.10818,38.050972,DJFMP
SB018M,-121.909917,38.04598,DJFMP
SB018N,-121.909917,38.047967,DJFMP
SB018S,-121.909917,38.04283,DJFMP
SB018X,-121.9112847,38.04365479,DJFMP
SF014E,-121.4911887,38.2269122,DJFMP
SJ001S,-121.7827132,38.01480683,DJFMP
SJ005N,-121.6994317,38.05079336,DJFMP
SJ026S,-121.5098959,38.05160734,DJFMP
SJ032S,-121.4473917,37.9973944,DJFMP
SJ041N,-121.3462528,37.95562193,DJFMP
SJ051E,-121.3113902,37.83069661,DJFMP
SJ054M,-121.3208502,37.80534537,DJFMP
SJ056E,-121.3073651,37.78703776,DJFMP
SJ058E,-121.3016392,37.77127404,DJFMP
SJ058W,-121.3030658,37.77243915,DJFMP
SJ063W,-121.2968653,37.72497212,DJFMP
SJ065W,-121.2787764,37.70940644,DJFMP
SJ068W,-121.2721691,37.69692686,DJFMP
SJ070N,-121.2746579,37.68741925,DJFMP
SJ074A,-121.2467263,37.66621575,DJFMP
SJ074W,-121.244883,37.67227165,DJFMP
SJ076W,-121.2239856,37.64758043,DJFMP
SJ077E,-121.2274124,37.63883594,DJFMP
SJ079E,-121.2103708,37.63161206,DJFMP
SJ083W,-121.176304,37.6131828,DJFMP
SJ087W,-121.164823,37.58019,DJFMP
SP000W,-122.4550107,37.99504183,DJFMP
SP001W,-122.4672713,38.00207391,DJFMP
SP003E,-122.3596151,38.00703474,DJFMP
SR012E,-121.6865463,38.13272407,DJFMP
SR012W,-121.6949056,38.1392889,DJFMP
SR014W,-121.6626646,38.18651797,DJFMP
SR017E,-121.6115749,38.16272799,DJFMP
SR024E,-121.5547949,38.24039242,DJFMP
SR036E,-121.547149,38.345671,DJFMP
SR036M,-121.547479,38.346228,DJFMP
SR036W,-121.54753,38.346744,DJFMP
SR037E,-121.530598,38.352899,DJFMP
SR037M,-121.532127,38.353174,DJFMP
SR037W,-121.532247,38.353518,DJFMP
SR038E,-121.520038,38.364062,DJFMP
SR038M,-121.520875,38.363999,DJFMP
SR038W,-121.521841,38.364054,DJFMP
SR043M,-121.532257,38.429379,DJFMP
SR043W,-121.5208997,38.38304913,DJFMP
SR049E,-121.543378,38.47805124,DJFMP
SR055E,-121.5293747,38.52739416,DJFMP
SR055M,-121.5239083,38.5334833,DJFMP
SR055W,-121.531403,38.529586,DJFMP
SR055X,-121.522732,38.533524,DJFMP
SR057E,-121.5163611,38.559775,DJFMP
SR060E,-121.5091653,38.60053595,DJFMP
SR062E,-121.5428694,38.5992222,DJFMP
SR071E,-121.6248473,38.67274584,DJFMP
SR080E,-121.6178397,38.78414982,DJFMP
SR090W,-121.723532,38.80134714,DJFMP
SR094E,-121.7265503,38.85300492,DJFMP
SR119E,-121.8220253,39.02464916,DJFMP
SR130E,-121.9032922,39.1106217,DJFMP
SR138E,-121.9371027,39.1942668,DJFMP
SR144W,-122.014965,39.21999207,DJFMP
SS011N,-121.5749397,38.30472188,DJFMP
TM001N,-121.6837998,38.11666073,DJFMP
WD002W,-121.6042633,37.95546975,DJFMP
XC001N,-121.5037624,38.24552036,DJFMP
