MethodCode,SampleDate,SampleTime,StationCode,Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,
Phyto,2/6/14,11:30,P8,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,4,4,16.8,i,BSA.02-01,KS,Fragment. High detritus. Moderate sediment. Diatom fragments.,cylinder,413.79,,,,,,,,,,
Phyto,2/6/14,11:30,P8,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,191,Cyclotella spp.,Diatom,Cyclotella,spp.,,2,2,11.2,i,BSA.02-01,KS,High detritus. Moderate sediment. Diatom fragments.,cylinder,364.52,,,,,,,,,,
Phyto,2/6/14,11:30,P8,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,304,Encyonema minutum,Diatom,Encyonema,minutum,,1,1,18.7,i,BSA.02-01,KS,High detritus. Moderate sediment. Diatom fragments.,cymbelloid,129.17,,,,,,,,,,
Phyto,2/6/14,11:30,P8,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,866,Pseudostaurosira brevistriata,Diatom,Pseudostaurosira,brevistriata,,4,4,11.2,i,BSA.02-01,KS,High detritus. Moderate sediment. Diatom fragments.,box,182.26,,,,,,,,,,
Phyto,2/6/14,11:30,P8,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,931,Stephanocyclus meneghiniana,Diatom,Stephanocyclus,meneghiniana,,1,1,11.2,i,BSA.02-01,KS,Fragment. High detritus. Moderate sediment. Diatom fragments.,cylinder,551.71,,,,,,,,,,
Phyto,2/6/14,11:30,P8,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,976,Synedra ulna,Diatom,Synedra,ulna,,1,1,67.3,i,BSA.02-01,KS,Fragment. High detritus. Moderate sediment. Diatom fragments.,box,1095.20,,,,,,,,,,
Phyto,2/6/14,11:30,P8,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,1305,Chrysococcus sp.,Soft Body,Chrysococcus,sp.,,2,2,5.6,i,BSA.02-01,KS,High detritus. Moderate sediment. Diatom fragments.,prolate spheroid,91.95,,,,,,,,,,
Phyto,2/6/14,11:30,P8,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,3,3,9.3,i,BSA.02-01,KS,High detritus. Moderate sediment. Diatom fragments.,cone + half sphere,337.38,,,,,,,,,,
Phyto,2/6/14,11:30,P8,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,390,815,0.85,c,BSA.02-01,KS,High detritus. Moderate sediment. Diatom fragments.,sphere,0.38,0.27,0.27,0.38,0.27,0.38,0.38,0.27,0.38,0.27,
Phyto,2/6/14,11:30,P8,62,10,16.13%,0.0697,314.159,0.488225493,7,64.35,1508,Pseudanabaena sp.,Soft Body,Pseudanabaena,sp.,,3,27,0.8,f,BSA.02-01,KS,High detritus. Moderate sediment. Diatom fragments.,cylinder,0.40,,,,,,,,,,
Phyto,2/5/14,12:00,C10A,61,10,16.39%,0.0697,314.159,0.488225493,7,64.35,44,Achnanthidium minutissimum,Diatom,Achnanthidium,minutissimum,,1,1,9.3,i,BSA.02-02,KS,Low sediment. Moderate detritus.,elliptic prism,51.35,,,,,,,,,,
Phyto,2/5/14,12:00,C10A,61,10,16.39%,0.0697,314.159,0.488225493,7,64.35,191,Cyclotella spp.,Diatom,Cyclotella,spp.,,29,29,9.3,i,BSA.02-02,KS,Low sediment. Moderate detritus.,cylinder,380.40,,,,,,,,,,
Phyto,2/5/14,12:00,C10A,61,10,16.39%,0.0697,314.159,0.488225493,7,64.35,304,Encyonema minutum,Diatom,Encyonema,minutum,,1,1,20.6,i,BSA.02-02,KS,Low sediment. Moderate detritus.,cymbelloid,288.43,,,,,,,,,,
Phyto,2/5/14,12:00,C10A,61,10,16.39%,0.0697,314.159,0.488225493,7,64.35,586,Navicula gregaria,Diatom,Navicula,gregaria,,7,7,24.3,i,BSA.02-02,KS,Low sediment. Moderate detritus.,elliptic prism,416.63,,,,,,,,,,
Phyto,2/5/14,12:00,C10A,61,10,16.39%,0.0697,314.159,0.488225493,7,64.35,632,Navicula spp.,Diatom,Navicula,spp.,,2,2,20.6,i,BSA.02-02,KS,Low sediment. Moderate detritus.,elliptic prism,212.92,,,,,,,,,,
Phyto,2/5/14,12:00,C10A,61,10,16.39%,0.0697,314.159,0.488225493,7,64.35,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,29.9,i,BSA.02-02,KS,Low sediment. Moderate detritus.,prism on parallelogram,105.10,,,,,,,,,,
Phyto,2/5/14,12:00,C10A,61,10,16.39%,0.0697,314.159,0.488225493,7,64.35,1666,Nitzschia cf. thermaloides,Diatom,Nitzschia,thermaloides,,1,1,31.8,i,BSA.02-02,KS,Low sediment. Moderate detritus.,prism on parallelogram,209.24,,,,,,,,,,
Phyto,2/5/14,12:00,C10A,61,10,16.39%,0.0697,314.159,0.488225493,7,64.35,874,Rhoicosphenia abbreviata,Diatom,Rhoicosphenia,abbreviata,,1,1,9.3,i,BSA.02-02,KS,Low sediment. Moderate detritus.,gomphonemoid,210.24,,,,,,,,,,
Phyto,2/5/14,12:00,C10A,61,10,16.39%,0.0697,314.159,0.488225493,7,64.35,931,Stephanocyclus meneghiniana,Diatom,Stephanocyclus,meneghiniana,,2,2,22.4,i,BSA.02-02,KS,Low sediment. Moderate detritus.,cylinder,2206.85,,,,,,,,,,
Phyto,2/5/14,12:00,C10A,61,10,16.39%,0.0697,314.159,0.488225493,7,64.35,1027,Chlamydomonas globosa,Soft Body,Chlamydomonas,globosa,,2,2,7.5,i,BSA.02-02,KS,Low sediment. Moderate detritus.,sphere,220.89,,,,,,,,,,
Phyto,2/5/14,12:00,C10A,61,10,16.39%,0.0697,314.159,0.488225493,7,64.35,1215,Scenedesmus cf. communis,Soft Body,Scenedesmus,communis,,1,4,13.1,c,BSA.02-02,KS,Low sediment. Moderate detritus.,prolate spheroid,93.90,,,,,,,,,,
Phyto,2/5/14,12:00,C10A,61,10,16.39%,0.0697,314.159,0.488225493,7,64.35,1305,Chrysococcus sp.,Soft Body,Chrysococcus,sp.,,5,5,5.6,i,BSA.02-02,KS,Low sediment. Moderate detritus.,prolate spheroid,91.95,,,,,,,,,,
Phyto,2/5/14,12:00,C10A,61,10,16.39%,0.0697,314.159,0.488225493,7,64.35,1349,Cryptomonas ovata,Soft Body,Cryptomonas,ovata,,1,1,16.8,i,BSA.02-02,KS,Low sediment. Moderate detritus.,prolate spheroid,494.80,,,,,,,,,,
Phyto,2/5/14,12:00,C10A,61,10,16.39%,0.0697,314.159,0.488225493,7,64.35,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,351,808,0.85,c,BSA.02-02,KS,Low sediment. Moderate detritus.,sphere,0.27,0.38,0.27,0.38,0.38,0.38,0.27,0.38,0.27,0.27,
Phyto,2/5/14,12:00,C10A,61,10,16.39%,0.0697,314.159,0.488225493,7,64.35,1545,Euglena sp.,Soft Body,Euglena,sp.,,4,4,16.8,i,BSA.02-02,KS,Low sediment. Moderate detritus.,half ellipsoid + cone on an elliptic base,3724.07,,,,,,,,,,
Phyto,2/5/14,12:00,C10A,61,10,16.39%,0.0697,314.159,0.488225493,7,64.35,1611,cf. Gymnodinium sp.,Soft Body,Gymnodinium,sp.,,1,1,18.7,i,BSA.02-02,KS,Low sediment. Moderate detritus.,ellipsoid,1457.34,,,,,,,,,,
Phyto,2/7/14,11:20,D19,64,10,15.63%,0.0697,314.159,0.418478994,6,75.07,44,Achnanthidium minutissimum,Diatom,Achnanthidium,minutissimum,,3,3,11.2,i,BSA.02-03,KS,High sediment. Moderate detritus. Diatom fragments.,elliptic prism,46.80,,,,,,,,,,
Phyto,2/7/14,11:20,D19,64,10,15.63%,0.0697,314.159,0.418478994,6,75.07,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,4,4,11.2,i,BSA.02-03,KS,Fragment. High sediment. Moderate detritus. Diatom fragments.,cylinder,275.86,,,,,,,,,,
Phyto,2/7/14,11:20,D19,64,10,15.63%,0.0697,314.159,0.418478994,6,75.07,99,Bacillaria paxillifer,Diatom,Bacillaria,paxillifer,,1,1,15,i,BSA.02-03,KS,Fragment. High sediment. Moderate detritus. Diatom fragments.,box,310.80,,,,,,,,,,
Phyto,2/7/14,11:20,D19,64,10,15.63%,0.0697,314.159,0.418478994,6,75.07,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,6,6,23.4,i,BSA.02-03,KS,High sediment. Moderate detritus. Diatom fragments.,elliptic prism,890.80,,,,,,,,,,
Phyto,2/7/14,11:20,D19,64,10,15.63%,0.0697,314.159,0.418478994,6,75.07,191,Cyclotella spp.,Diatom,Cyclotella,spp.,,7,7,22.4,i,BSA.02-03,KS,High sediment. Moderate detritus. Diatom fragments.,cylinder,2955.61,,,,,,,,,,
Phyto,2/7/14,11:20,D19,64,10,15.63%,0.0697,314.159,0.418478994,6,75.07,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,18.7,i,BSA.02-03,KS,High sediment. Moderate detritus. Diatom fragments.,elliptic prism,407.56,,,,,,,,,,
Phyto,2/7/14,11:20,D19,64,10,15.63%,0.0697,314.159,0.418478994,6,75.07,750,Nitzschia spp.,Diatom,Nitzschia,spp.,,2,2,29.9,i,BSA.02-03,KS,High sediment. Moderate detritus. Diatom fragments.,prism on parallelogram,204.67,,,,,,,,,,
Phyto,2/7/14,11:20,D19,64,10,15.63%,0.0697,314.159,0.418478994,6,75.07,976,Synedra ulna,Diatom,Synedra,ulna,,4,4,9.3,i,BSA.02-03,KS,Fragment. High sediment. Moderate detritus. Diatom fragments.,box,151.34,,,,,,,,,,
Phyto,2/7/14,11:20,D19,64,10,15.63%,0.0697,314.159,0.418478994,6,75.07,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,2,2,11.2,i,BSA.02-03,KS,High sediment. Moderate detritus. Broken diatoms.,cone + half sphere,551.71,,,,,,,,,,
Phyto,2/7/14,11:20,D19,64,10,15.63%,0.0697,314.159,0.418478994,6,75.07,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,382,803,0.85,c,BSA.02-03,KS,High sediment. Moderate detritus. Broken diatoms.,sphere,0.27,0.38,0.38,0.27,0.27,0.38,0.27,0.27,0.38,0.38,
Phyto,2/7/14,11:20,D19,64,10,15.63%,0.0697,314.159,0.418478994,6,75.07,1508,Pseudanabaena sp.,Soft Body,Pseudanabaena,sp.,,2,18,0.8,f,BSA.02-03,KS,High sediment. Moderate detritus. Broken diatoms.,cylinder,0.40,,,,,,,,,,
Phyto,2/7/14,11:20,D19,64,10,15.63%,0.0697,314.159,0.418478994,6,75.07,1545,cf. Euglena sp.,Soft Body,Euglena,sp.,,1,1,16.8,i,BSA.02-03,KS,High sediment. Moderate detritus. Broken diatoms.,half ellipsoid + cone on an elliptic base,366.15,,,,,,,,,,
Phyto,2/12/14,12:40,D6,63,10,15.87%,0.0697,314.159,0.418478994,6,75.07,191,Cyclotella spp.,Diatom,Cyclotella,spp.,,6,6,6.5,i,BSA.02-04,KS,High sediment and detritus.,cylinder,122.78,,,,,,,,,,
Phyto,2/12/14,12:40,D6,63,10,15.87%,0.0697,314.159,0.418478994,6,75.07,631,Navicula sp.,Diatom,Navicula,sp.,,1,1,18.7,i,BSA.02-04,KS,High sediment and detritus.,elliptic prism,304.31,,,,,,,,,,
Phyto,2/12/14,12:40,D6,63,10,15.87%,0.0697,314.159,0.418478994,6,75.07,1328,Pseudokephyrion sp.,Soft Body,Pseudokephyrion,sp.,,2,2,5.6,i,BSA.02-04,KS,High sediment and detritus.,ellipsoid,50.99,,,,,,,,,,
Phyto,2/12/14,12:40,D6,63,10,15.87%,0.0697,314.159,0.418478994,6,75.07,1352,cf. Cryptomonas sp.,Soft Body,Cryptomonas,sp.,,1,1,15,i,BSA.02-04,KS,High sediment and detritus.,prolate spheroid,441.79,,,,,,,,,,
Phyto,2/12/14,12:40,D6,63,10,15.87%,0.0697,314.159,0.418478994,6,75.07,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,8.4,i,BSA.02-04,KS,High sediment and detritus.,cone + half sphere,258.62,,,,,,,,,,
Phyto,2/12/14,12:40,D6,63,10,15.87%,0.0697,314.159,0.418478994,6,75.07,1365,Rhodomonas cf. lacustris,Soft Body,Rhodomonas,lacustris,,2,2,9.3,i,BSA.02-04,KS,High sediment and detritus.,cone + half sphere,337.38,,,,,,,,,,
Phyto,2/12/14,12:40,D6,63,10,15.87%,0.0697,314.159,0.418478994,6,75.07,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,390,833,0.85,c,BSA.02-04,KS,High sediment and detritus.,sphere,0.27,0.38,0.27,0.38,0.38,0.38,0.27,0.38,0.27,0.27,
Phyto,2/10/14,11:16,D8,61,10,16.39%,0.0697,314.159,0.627718491,9,50.05,99,Bacillaria paxillifer,Diatom,Bacillaria,paxillifer,,1,1,9.3,i,BSA.02-05,KS,Fragment. High detritus. Moderate sediment.,box,220.22,,,,,,,,,,
Phyto,2/10/14,11:16,D8,61,10,16.39%,0.0697,314.159,0.627718491,9,50.05,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,2,2,22.4,i,BSA.02-05,KS,Fragment. High detritus. Moderate sediment.,elliptic prism,488.20,,,,,,,,,,
Phyto,2/10/14,11:16,D8,61,10,16.39%,0.0697,314.159,0.627718491,9,50.05,191,Cyclotella spp.,Diatom,Cyclotella,spp.,,7,7,9.3,i,BSA.02-05,KS,High detritus. Moderate sediment.,cylinder,251.34,,,,,,,,,,
Phyto,2/10/14,11:16,D8,61,10,16.39%,0.0697,314.159,0.627718491,9,50.05,976,Synedra ulna,Diatom,Synedra,ulna,,1,1,7.5,i,BSA.02-05,KS,Fragment. High detritus. Moderate sediment.,box,52.31,,,,,,,,,,
Phyto,2/10/14,11:16,D8,61,10,16.39%,0.0697,314.159,0.627718491,9,50.05,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,393,822,0.85,c,BSA.02-05,KS,High detritus. Moderate sediment.,sphere,0.27,0.38,0.27,0.38,0.27,0.38,0.27,0.38,0.38,0.27,
Phyto,2/6/14,10:10,MD10A,63,10,15.87%,0.0697,314.159,0.906704487,13,34.65,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,4,4,11.2,i,BSA.02-06,KS,"Fragment. Moderate detritus, light sediment.",cylinder,916.24,,,,,,,,,,
Phyto,2/6/14,10:10,MD10A,63,10,15.87%,0.0697,314.159,0.906704487,13,34.65,397,Fragilaria sp.,Diatom,Fragilaria,sp.,,2,2,37.4,i,BSA.02-06,KS,"(Girdle) Moderate detritus, light sediment.",elliptic prism,1233.70,,,,,,,,,,
Phyto,2/6/14,10:10,MD10A,63,10,15.87%,0.0697,314.159,0.906704487,13,34.65,744,Nitzschia cf. sigma,Diatom,Nitzschia,sigma,,1,1,56.1,i,BSA.02-06,KS,"Moderate detritus, light sediment.",prism on parallelogram,384.00,,,,,,,,,,
Phyto,2/6/14,10:10,MD10A,63,10,15.87%,0.0697,314.159,0.906704487,13,34.65,1667,Kephyrion rubri-claustri,Soft Body,Kephyrion,rubri-claustri,,1,1,7.5,i,BSA.02-06,KS,"Moderate detritus, light sediment.",prolate spheroid,123.15,,,,,,,,,,
Phyto,2/6/14,10:10,MD10A,63,10,15.87%,0.0697,314.159,0.906704487,13,34.65,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,8,8,9.3,i,BSA.02-06,KS,"Moderate detritus, light sediment.",cone + half sphere,337.38,,,,,,,,,,
Phyto,2/6/14,10:10,MD10A,63,10,15.87%,0.0697,314.159,0.906704487,13,34.65,1419,Chroococcus microscopicus,Soft Body,Chroococcus,microscopicus,,409,1108,0.85,c,BSA.02-06,KS,"Moderate detritus, light sediment.",sphere,0.27,0.27,0.38,0.27,0.38,0.38,0.38,0.27,0.38,0.27,
Phyto,2/6/14,10:10,MD10A,63,10,15.87%,0.0697,314.159,0.906704487,13,34.65,1508,Pseudanabaena sp.,Soft Body,Pseudanabaena,sp.,,1,12,1,f,BSA.02-06,KS,"Moderate detritus, light sediment.",cylinder,0.79,,,,,,,,,,
Phyto,2/10/14,14:10,EZ2,59,10,16.95%,0.0697,314.159,0.418478994,6,75.07,95,Aulacoseira sp. ,Diatom,Aulacoseira,sp.,,3,3,7.5,i,BSA.02-07,KS,"Fragment. Moderate detritus, diatom fragments.",cylinder,184.73,,,,,,,,,,
