MethodCode,SampleDate,SampleTime,StationCode,Depth (ft),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,Dimension,Measurement average,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10,Measurement 11,Measurement 12,Measurement 13,Measurement 14,Measurement 15,Measurement 16,Measurement 17,Measurement 18,Measurement 19,Measurement 20,Measurement 21,Measurement 22,Measurement 23,Measurement 24,Measurement 25
Phyto,12/18/2018,11:51,DI-SAV-18,3,50.0,2,4.00%,0.0683,314.159,0.5464,8,287.48,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,18.5,,,i,BSA.YOLO-01,CT,Low sediment and detritus.,elliptic prism,488.20,,,,,,,,,,Length,18.5,18.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/18/2018,11:51,DI-SAV-18,3,50.0,2,4.00%,0.0683,314.159,0.5464,8,287.48,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,7,7,3.7,,,i,BSA.YOLO-01,CT,Low sediment and detritus.,sphere,7.24,,,,,,,,,,Length,2.4,1.9,1.9,3.7,2.8,1.9,,,,,,,,,,,,,,,,,,,,
Phyto,12/18/2018,11:51,DI-SAV-18,3,50.0,2,4.00%,0.0683,314.159,0.5464,8,287.48,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,1,1,5.6,,,i,BSA.YOLO-01,CT,Low sediment and detritus.,cone + half sphere,76.35,,,,,,,,,,Length,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/18/2018,11:51,DI-SAV-18,3,50.0,2,4.00%,0.0683,314.159,0.5464,8,287.48,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,433,886,0.8,0.8,0.8,c,BSA.YOLO-01,CT,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,12/18/2018,12:45,DI_SAV_2,,63.5,2,3.15%,0.0683,314.159,0.5464,8,287.48,40,Achnanthidium exiguum,Diatom,Achnanthidium,exiguum,,1,1,15.7,,,i,BSA.YOLO-02,CT,Low sediment and detritus.,elliptic prism,255.49,,,,,,,,,,Length,15.7,15.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/18/2018,12:45,DI_SAV_2,,63.5,2,3.15%,0.0683,314.159,0.5464,8,287.48,319,Entomoneis sp.,Diatom,Entomoneis,sp.,,1,1,27.8,,,i,BSA.YOLO-02,CT,Low sediment and detritus.,elliptic prism,2100.44,,,,,,,,,,Length,27.8,27.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/18/2018,12:45,DI_SAV_2,,63.5,2,3.15%,0.0683,314.159,0.5464,8,287.48,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,55.6,,,i,BSA.YOLO-02,CT,Low sediment and detritus.,prism on parallelogram,473.16,,,,,,,,,,Length,55.6,55.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/18/2018,12:45,DI_SAV_2,,63.5,2,3.15%,0.0683,314.159,0.5464,8,287.48,911,Staurosira construens,Diatom,Staurosira,construens,,3,3,14.8,,,c,BSA.YOLO-02,CT,Low sediment and detritus.,elliptic prism,197.84,,,,,,,,,,Length,14.8,14.8,14.8,14.8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.6,4.6,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/18/2018,12:45,DI_SAV_2,,63.5,2,3.15%,0.0683,314.159,0.5464,8,287.48,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,8,8,2.8,,,i,BSA.YOLO-02,CT,Low sediment and detritus.,sphere,7.24,,,,,,,,,,Length,2.4,2.8,2.8,1.9,2.8,1.9,,,,,,,,,,,,,,,,,,,,
Phyto,12/18/2018,12:45,DI_SAV_2,,63.5,2,3.15%,0.0683,314.159,0.5464,8,287.48,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,9.3,,,i,BSA.YOLO-02,CT,Low sediment and detritus.,cone + half sphere,314.74,,,,,,,,,,Length,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/18/2018,12:45,DI_SAV_2,,63.5,2,3.15%,0.0683,314.159,0.5464,8,287.48,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,2,2,7.4,,,i,BSA.YOLO-02,CT,Low sediment and detritus.,cone + half sphere,159.13,,,,,,,,,,Length,7.4,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/18/2018,12:45,DI_SAV_2,,63.5,2,3.15%,0.0683,314.159,0.5464,8,287.48,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,408,834,0.8,0.8,0.8,c,BSA.YOLO-02,CT,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,12/18/2018,12:21,DI_WAT_1,3,61.0,2,3.28%,0.0683,314.159,0.5464,8,287.48,139,Chaetoceros sp.,Diatom,Chaetoceros,sp.,,1,1,14.8,,,i,BSA.YOLO-03,CT,Moderate sediment and detritus.,elliptic prism,534.69,,,,,,,,,,Length,14.8,14.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/18/2018,12:21,DI_WAT_1,3,61.0,2,3.28%,0.0683,314.159,0.5464,8,287.48,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,6.5,,,i,BSA.YOLO-03,CT,Moderate sediment and detritus.,sphere,87.67,,,,,,,,,,Length,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/18/2018,12:21,DI_WAT_1,3,61.0,2,3.28%,0.0683,314.159,0.5464,8,287.48,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,5,5,2.8,,,i,BSA.YOLO-03,CT,Moderate sediment and detritus.,sphere,6.37,,,,,,,,,,Length,2.3,1.9,1.9,2.8,2.8,1.9,,,,,,,,,,,,,,,,,,,,
Phyto,12/18/2018,12:21,DI_WAT_1,3,61.0,2,3.28%,0.0683,314.159,0.5464,8,287.48,1365,Plagioselmis lacustris,Soft Body,Plagioselmis,lacustris,,2,2,13,,,i,BSA.YOLO-03,CT,Moderate sediment and detritus.,cone + half sphere,902.58,,,,,,,,,,Length,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,7.4,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/18/2018,12:21,DI_WAT_1,3,61.0,2,3.28%,0.0683,314.159,0.5464,8,287.48,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,9.3,,,i,BSA.YOLO-03,CT,Moderate sediment and detritus.,cone + half sphere,337.38,,,,,,,,,,Length,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/18/2018,12:21,DI_WAT_1,3,61.0,2,3.28%,0.0683,314.159,0.5464,8,287.48,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,390,795,0.8,0.8,0.8,c,BSA.YOLO-03,CT,Moderate sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,12/18/2018,12:55,DI_WAT_2,,63.0,2,3.17%,0.0683,314.159,0.7513,11,209.08,145,Cocconeis placentula,Diatom,Cocconeis,placentula,,1,1,20.4,,,i,BSA.YOLO-04,CT,Low sediment and detritus.,elliptic prism,824.02,,,,,,,,,,Length,20.4,20.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,13.9,13.9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/18/2018,12:55,DI_WAT_2,,63.0,2,3.17%,0.0683,314.159,0.7513,11,209.08,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,13,13,2.8,,,i,BSA.YOLO-04,CT,Low sediment and detritus.,sphere,6.37,,,,,,,,,,Length,2.3,2.8,1.9,1.9,2.8,1.9,,,,,,,,,,,,,,,,,,,,
Phyto,12/18/2018,12:55,DI_WAT_2,,63.0,2,3.17%,0.0683,314.159,0.7513,11,209.08,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,9.3,,,i,BSA.YOLO-04,CT,Low sediment and detritus.,cone + half sphere,337.38,,,,,,,,,,Length,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/18/2018,12:55,DI_WAT_2,,63.0,2,3.17%,0.0683,314.159,0.7513,11,209.08,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,401,827,0.8,0.8,0.8,c,BSA.YOLO-04,CT,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,12/17/2018,12:20,FI_SAV_1,3,63.5,2,3.15%,0.0683,314.159,0.683,10,229.98,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,10,10,2.8,,,i,BSA.YOLO-05,CT,Low sediment and detritus.,sphere,6.37,,,,,,,,,,Length,2.3,1.9,1.9,2.8,2.8,1.9,,,,,,,,,,,,,,,,,,,,
Phyto,12/17/2018,12:20,FI_SAV_1,3,63.5,2,3.15%,0.0683,314.159,0.683,10,229.98,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,1,1,9.3,,,i,BSA.YOLO-05,CT,Low sediment and detritus.,cone + half sphere,337.38,,,,,,,,,,Length,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/17/2018,12:20,FI_SAV_1,3,63.5,2,3.15%,0.0683,314.159,0.683,10,229.98,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,3,3,6.8,,,i,BSA.YOLO-05,CT,Low sediment and detritus.,cone + half sphere,130.74,,,,,,,,,,Length,6.8,7.4,5.6,7.4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.0,4.6,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/17/2018,12:20,FI_SAV_1,3,63.5,2,3.15%,0.0683,314.159,0.683,10,229.98,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,399,820,0.8,0.8,0.8,c,BSA.YOLO-05,CT,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,12/17/2018,13:07,FI_SAV_2,,60.0,2,3.33%,0.0683,314.159,1.0245,15,153.32,397,Fragilaria sp.,Diatom,Fragilaria,sp.,,1,1,18.5,,,i,BSA.YOLO-06,CT,Low sediment and detritus.,elliptic prism,113.91,,,,,,,,,,Length,18.5,18.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/17/2018,13:07,FI_SAV_2,,60.0,2,3.33%,0.0683,314.159,1.0245,15,153.32,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,5.6,,,i,BSA.YOLO-06,CT,Low sediment and detritus.,sphere,75.53,,,,,,,,,,Length,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/17/2018,13:07,FI_SAV_2,,60.0,2,3.33%,0.0683,314.159,1.0245,15,153.32,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,16,16,2.8,,,i,BSA.YOLO-06,CT,Low sediment and detritus.,sphere,6.37,,,,,,,,,,Length,2.3,1.9,1.9,1.9,2.8,2.8,,,,,,,,,,,,,,,,,,,,
Phyto,12/17/2018,13:07,FI_SAV_2,,60.0,2,3.33%,0.0683,314.159,1.0245,15,153.32,1692,cf. Kephyrion sp.,Soft Body,Kephyrion,sp.,,1,1,7.4,,,i,BSA.YOLO-06,CT,Low sediment and detritus.,prolate spheroid,81.99,,,,,,,,,,Length,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/17/2018,13:07,FI_SAV_2,,60.0,2,3.33%,0.0683,314.159,1.0245,15,153.32,1365,Plagioselmis lacustris,Soft Body,Plagioselmis,lacustris,,3,3,11.1,,,i,BSA.YOLO-06,CT,Low sediment and detritus.,cone + half sphere,499.34,,,,,,,,,,Length,10.5,10.2,11.1,10.2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,6.8,6.5,6.5,7.4,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/17/2018,13:07,FI_SAV_2,,60.0,2,3.33%,0.0683,314.159,1.0245,15,153.32,1364,Plagioselmis nannoplanctica,Soft Body,Plagioselmis,nannoplanctica,,2,2,11.1,,,i,BSA.YOLO-06,CT,Low sediment and detritus.,cone + half sphere,430.35,,,,,,,,,,Length,10.2,9.3,11.1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,5.6,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/17/2018,13:07,FI_SAV_2,,60.0,2,3.33%,0.0683,314.159,1.0245,15,153.32,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,382,780,0.8,0.8,0.8,c,BSA.YOLO-06,CT,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,12/17/2018,12:54,FI_WAT_1,3,59.0,2,3.39%,0.0683,314.159,0.683,10,229.98,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,6.5,,,i,BSA.YOLO-07,CT,Low sediment and detritus.,cylinder,122.78,,,,,,,,,,Length,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/17/2018,12:54,FI_WAT_1,3,59.0,2,3.39%,0.0683,314.159,0.683,10,229.98,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,13,13,2.8,,,i,BSA.YOLO-07,CT,Low sediment and detritus.,sphere,4.85,,,,,,,,,,Length,2.1,2.8,1.9,1.9,1.9,1.9,,,,,,,,,,,,,,,,,,,,
Phyto,12/17/2018,12:54,FI_WAT_1,3,59.0,2,3.39%,0.0683,314.159,0.683,10,229.98,1365,Plagioselmis lacustris,Soft Body,Plagioselmis,lacustris,,2,2,11.1,,,i,BSA.YOLO-07,CT,Low sediment and detritus.,cone + half sphere,515.54,,,,,,,,,,Length,10.7,10.2,11.1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,6.5,5.6,7.4,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/17/2018,12:54,FI_WAT_1,3,59.0,2,3.39%,0.0683,314.159,0.683,10,229.98,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,4,4,7.4,,,i,BSA.YOLO-07,CT,Low sediment and detritus.,cone + half sphere,117.52,,,,,,,,,,Length,6.7,6.5,7.4,7.4,5.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.3,2.8,3.7,3.7,2.8,,,,,,,,,,,,,,,,,,,,,
Phyto,12/17/2018,12:54,FI_WAT_1,3,59.0,2,3.39%,0.0683,314.159,0.683,10,229.98,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,401,819,0.8,0.8,0.8,c,BSA.YOLO-07,CT,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,12/17/2018,13:18,FI_WAT_2,,61.0,2,3.28%,0.0683,314.159,0.8879,13,176.91,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,11.1,,,i,BSA.YOLO-08,CT,Low sediment and detritus.,elliptic prism,90.32,,,,,,,,,,Length,11.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/17/2018,13:18,FI_WAT_2,,61.0,2,3.28%,0.0683,314.159,0.8879,13,176.91,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,1,1,11.1,,,i,BSA.YOLO-08,CT,Low sediment and detritus.,cylinder,541.91,,,,,,,,,,Length,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,11.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/17/2018,13:18,FI_WAT_2,,61.0,2,3.28%,0.0683,314.159,0.8879,13,176.91,1037,cf. Chlorella sp.,Soft Body,Chlorella,sp.,,19,19,2.8,,,i,BSA.YOLO-08,CT,Low sediment and detritus.,sphere,7.24,,,,,,,,,,Length,2.4,2.8,1.9,1.9,2.8,2.8,,,,,,,,,,,,,,,,,,,,
Phyto,12/17/2018,13:18,FI_WAT_2,,61.0,2,3.28%,0.0683,314.159,0.8879,13,176.91,1365,Plagioselmis lacustris,Soft Body,Plagioselmis,lacustris,,1,1,10.2,,,i,BSA.YOLO-08,CT,Low sediment and detritus.,cone + half sphere,479.38,,,,,,,,,,Length,10.2,10.2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/17/2018,13:18,FI_WAT_2,,61.0,2,3.28%,0.0683,314.159,0.8879,13,176.91,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,1,1,5.6,,,i,BSA.YOLO-08,CT,Low sediment and detritus.,cone + half sphere,76.35,,,,,,,,,,Length,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,12/17/2018,13:18,FI_WAT_2,,61.0,2,3.28%,0.0683,314.159,0.8879,13,176.91,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,381,770,0.8,0.8,0.8,c,BSA.YOLO-08,CT,Low sediment and detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
